遺跡名,器種,点数
弁天貝塚,碗,134
弁天貝塚,皿,84
弁天貝塚,その他食膳具,34
弁天貝塚,土瓶,6
弁天貝塚,鍋,0
弁天貝塚,すり鉢,46
弁天貝塚,壺･甕･瓶,1572
弁天貝塚,灯明皿・油注,0
弁天貝塚,その他,40
穂香川右岸,碗,1818
穂香川右岸,皿,1023
穂香川右岸,その他食膳具,114
穂香川右岸,土瓶,340
穂香川右岸,鍋,0
穂香川右岸,すり鉢,0
穂香川右岸,壺･甕･瓶,7387
穂香川右岸,灯明皿・油注,0
穂香川右岸,その他,682
野付通行屋,碗,601
野付通行屋,皿,497
野付通行屋,その他食膳具,52
野付通行屋,土瓶,535
野付通行屋,鍋,55
野付通行屋,すり鉢,115
野付通行屋,壺･甕･瓶,3292
野付通行屋,灯明皿・油注,11
野付通行屋,その他,502
白老仙台藩陣屋,碗,240
白老仙台藩陣屋,皿,67
白老仙台藩陣屋,その他食膳具,45
白老仙台藩陣屋,土瓶,118
白老仙台藩陣屋,鍋,33
白老仙台藩陣屋,すり鉢,11
白老仙台藩陣屋,壺･甕･瓶,417
白老仙台藩陣屋,灯明皿・油注,0
白老仙台藩陣屋,その他,72
館城跡,碗,554
館城跡,皿,484
館城跡,その他食膳具,118
館城跡,土瓶,98
館城跡,鍋,9
館城跡,すり鉢,42
館城跡,壺･甕･瓶,280
館城跡,灯明皿・油注,46
館城跡,その他,90
