"","全長","刀身長","茎長","刀身先幅","刀身元幅","刀身元厚","茎先幅","茎元幅","茎先厚"
"1",6.2,4,2.2,0.8,1,0.4,0.6,0.8,0.3
"2",9.2,4.3,4.9,0.9,1,0.3,0.4,1.05,0.3
"3",6.9,4.7,2.2,1,1.1,0.25,0.65,0.8,0.2
"4",8.2,6,2.2,0.65,0.8,0.3,0.8,1.05,0.3
"5",11.8,6.3,5.5,0.6,1.25,0.3,0.6,1.05,0.3
"6",12,6.44,5.56,1.4,1.9,0.4,0.65,1.25,0.34
"7",12.5,6.6,5.9,0.6,1.4,0.4,0.4,1,0.2
"8",13.8,7.3,6.5,0.5,1.1,0.3,0.3,0.7,0.2
"9",NA,7.8,NA,1.4,1.7,0.6,NA,1.2,NA
"10",14.2,8,6.2,0.6,1.2,0.35,0.7,1.2,0.3
"11",NA,8.2,NA,0.65,1.1,0.4,NA,0.8,NA
"12",NA,8.3,NA,0.85,1.5,0.4,NA,1.3,NA
"13",15.3,8.6,6.7,0.8,1.3,0.2,0.5,0.8,0.2
"14",14.2,8.8,5.4,0.8,1.2,0.35,0.5,1,0.3
"15",NA,8.8,NA,0.75,1.8,0.3,0.4,0.6,0.25
"16",15.8,9,6.8,0.5,1.11,0.45,0.4,0.7,0.3
"17",13.5,9.1,4.4,0.7,1.5,0.3,0.6,0.9,0.25
"18",15.7,9.2,6.45,1,1.2,0.45,0.5,1.14,0.3
"19",13.8,9.2,4.6,1,1.5,0.3,0.7,1.4,0.2
"20",14.65,9.2,15.46,0.97,1.8,0.41,0.5,1.22,0.26
"21",15,9.25,5.75,0.7,1.5,0.3,0.5,0.8,0.2
"22",16.3,9.3,7,1.2,1.9,0.4,1,1.6,0.3
"23",17.7,9.3,8.4,1.1,1.9,0.5,1,1.8,0.3
"24",NA,10,NA,0.9,1.5,0.4,NA,NA,NA
"25",16.3,10,6.3,1.65,1.55,0.38,0.84,1.2,0.3
"26",16.2,10.1,6.1,0.8,1.2,0.3,0.55,1,0.25
"27",17.6,10.4,7.2,0.9,1.6,0.25,0.35,1.1,0.18
"28",NA,10.4,NA,1.3,1.66,0.5,NA,1.15,NA
"29",17.4,10.5,6.9,0.6,1.5,0.3,0.9,1.4,NA
"30",NA,10.66,NA,1.72,2.05,0.3,NA,1.32,NA
"31",NA,10.75,NA,1.2,1.4,0.36,NA,NA,NA
"32",19.9,12.9,7,1,1.9,0.4,0.5,0.7,0.45
"33",NA,13.1,NA,1.46,2.2,0.3,NA,1.35,NA
"34",20.76,13.3,7.46,1.25,1.9,0.3,0.8,1.8,0.25
"35",23.5,14.8,8.7,2,2,0.5,0.7,1.8,0.3
"36",24.2,15.1,9.1,1.1,1.7,0.4,0.55,1.3,0.15
"37",22.7,15.1,7.6,1.9,2.4,0.45,1.1,1.5,0.4
"38",27.22,16.3,10.9,1.49,2.08,0.37,0.2,1.02,0.18
"39",26.9,16.4,10.5,2.4,2.6,NA,0.7,2.1,NA
"40",28.5,19.4,9.1,1.25,2.3,0.45,0.93,1.95,0.26
"41",30,19.6,10.4,2.2,2.7,0.5,1,2.1,0.4
"42",27.4,20.05,7.35,2.4,2.92,0.43,1.2,2.55,0.35
"43",29.4,21.49,7.91,2.65,3.34,0.4,1.04,1.7,NA
"44",NA,22.5,NA,2,2.6,0.4,NA,1.6,NA
"45",28.68,22.93,5.87,1.09,3.34,0.76,0.75,1.75,0.23
"46",NA,23.1,NA,2.8,3.2,0.7,NA,NA,NA
"47",30.9,23.2,7.5,0.8,2.15,0.43,1.4,1.8,0.3
"48",NA,23.4,NA,2.5,3.4,0.5,NA,2.2,NA
"49",29.4,23.5,6.1,2.3,3.3,0.4,1,2.11,0.4
"50",30.7,23.8,6.9,2.3,2.9,0.5,1.4,1.95,0.3
"51",31.9,24.05,7.85,2.05,3.3,0.5,0.6,1.9,0.3
"52",32.5,24.8,7.7,2.7,3.5,0.6,1.7,2.8,0.7
"53",NA,25,NA,2.8,3.2,0.6,NA,2.3,NA
"54",38.5,27.9,10.6,3.3,3.2,0.55,1.65,2.6,0.5
"55",39.6,28.3,11.3,1.8,3.2,0.5,1.9,3,0.5
"56",40.3,29.5,10.8,3.6,4.1,0.5,0.75,2.8,0.4
"57",45.1,32.8,12.3,4.1,4.2,0.8,1.6,3.2,NA
"58",44.6,33.3,11.3,3.6,3.75,0.7,0.9,2.5,0.7
"59",47.1,35.9,11.2,2.8,3.4,0.65,1.1,3,NA
"60",48.2,37,11.2,2.8,3.45,0.7,1.48,2.4,0.7
"61",46.2,37.4,8.8,3.1,3.45,0.75,1.13,3.1,0.46
"62",46.9,37.9,9,3.3,3.7,0.6,2.1,3.2,NA
"63",53.3,41.7,NA,2.5,3.4,0.7,NA,NA,NA
"64",53.5,41.9,11.6,3.8,4.8,0.6,1.8,3.9,0.5
"65",59.5,46.7,NA,3.6,4.3,0.7,NA,NA,NA
"66",57.2,47.3,9.9,1.8,2.7,0.7,1.1,2.8,0.46
"67",NA,60.9,NA,2.5,3.4,0.7,NA,2.43,NA
"68",NA,NA,3.2,NA,0.65,0.2,0.4,0.65,0.2
"69",NA,NA,NA,NA,0.7,0.33,NA,0.7,NA
"70",NA,NA,1.8,NA,0.7,0.3,0.5,0.6,0.25
"71",NA,NA,4,NA,0.75,0.3,0.4,0.55,0.3
"72",NA,NA,NA,NA,0.8,0.25,0.85,0.9,0.2
"73",NA,NA,4.1,NA,1,0.28,0.42,0.8,0.27
"74",NA,NA,3.4,NA,1,0.3,0.7,0.95,0.2
"75",NA,NA,8.45,NA,1.14,0.47,0.68,1.12,0.25
"76",NA,NA,NA,NA,1.3,0.23,NA,1.2,NA
"77",NA,NA,NA,NA,1.5,0.4,NA,1.15,NA
"78",NA,NA,7.7,NA,1.6,0.35,0.6,1.3,0.2
"79",NA,NA,6.1,NA,1.7,0.4,0.7,1.1,0.2
"80",NA,NA,NA,NA,1.7,0.3,NA,1.5,NA
"81",NA,NA,NA,NA,1.8,0.3,0.5,0.9,0.35
"82",NA,NA,NA,NA,1.9,0.4,NA,1.5,NA
"83",NA,NA,NA,NA,2.05,0.4,NA,1.67,NA
"84",NA,NA,9.7,NA,2.9,0.45,1.2,2.4,0.44
"85",NA,NA,8.1,NA,3.6,NA,0.7,1.8,NA
"86",NA,NA,NA,NA,NA,NA,0.32,NA,0.2
"87",NA,NA,NA,1,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,1.6,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,0.2
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,0.85,NA,NA,NA,NA,NA
